
> reprolab-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3002
- Network:       http://10.241.76.211:3002
✓ Ready in 637ms

 GET / 200 in 1417ms (next.js: 147ms, application-code: 1270ms)
 GET /lab?projectId=prj_09047604e591d969 200 in 1128ms (next.js: 28ms, application-code: 1099ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 812ms (next.js: 782ms, proxy.ts: 16ms, application-code: 14ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 828ms (next.js: 797ms, proxy.ts: 17ms, application-code: 14ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 844ms (next.js: 813ms, proxy.ts: 18ms, application-code: 12ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 885ms (next.js: 855ms, proxy.ts: 18ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 901ms (next.js: 867ms, proxy.ts: 19ms, application-code: 15ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 83ms (next.js: 58ms, proxy.ts: 9ms, application-code: 17ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 68ms (next.js: 38ms, proxy.ts: 11ms, application-code: 19ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 9ms, proxy.ts: 3ms, application-code: 9ms)
 GET /lab 200 in 40ms (next.js: 4ms, application-code: 36ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 50ms (next.js: 16ms, proxy.ts: 6ms, application-code: 29ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 52ms (next.js: 28ms, proxy.ts: 6ms, application-code: 18ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 53ms (next.js: 38ms, proxy.ts: 6ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 24ms (next.js: 11ms, proxy.ts: 4ms, application-code: 9ms)
 GET /lab?projectId=prj_09047604e591d969 200 in 58ms (next.js: 3ms, application-code: 56ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 150ms (next.js: 30ms, proxy.ts: 8ms, application-code: 112ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 155ms (next.js: 46ms, proxy.ts: 8ms, application-code: 101ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 159ms (next.js: 74ms, proxy.ts: 8ms, application-code: 77ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 171ms (next.js: 106ms, proxy.ts: 8ms, application-code: 57ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 176ms (next.js: 127ms, proxy.ts: 9ms, application-code: 41ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 38ms (next.js: 8ms, proxy.ts: 16ms, application-code: 14ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 40ms (next.js: 14ms, proxy.ts: 16ms, application-code: 11ms)
 GET /api/demo/events?projectId=prj_09047604e591d969 200 in 1578ms (next.js: 3ms, proxy.ts: 4ms, application-code: 1571ms)
 GET /lab?projectId=prj_09047604e591d969 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 72ms (next.js: 23ms, proxy.ts: 13ms, application-code: 36ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 74ms (next.js: 35ms, proxy.ts: 13ms, application-code: 26ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 87ms (next.js: 46ms, proxy.ts: 13ms, application-code: 28ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 95ms (next.js: 68ms, proxy.ts: 11ms, application-code: 16ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 103ms (next.js: 77ms, proxy.ts: 12ms, application-code: 14ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 44ms (next.js: 8ms, proxy.ts: 22ms, application-code: 14ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 46ms (next.js: 14ms, proxy.ts: 21ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 16ms (next.js: 5ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 20ms (next.js: 8ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 60ms (next.js: 15ms, proxy.ts: 4ms, application-code: 42ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 67ms (next.js: 30ms, proxy.ts: 4ms, application-code: 33ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 71ms (next.js: 49ms, proxy.ts: 4ms, application-code: 19ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 12ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 19ms (next.js: 10ms, proxy.ts: 3ms, application-code: 6ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 43ms (next.js: 12ms, proxy.ts: 4ms, application-code: 26ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 44ms (next.js: 22ms, proxy.ts: 4ms, application-code: 18ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 47ms (next.js: 31ms, proxy.ts: 4ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 10ms, proxy.ts: 2ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 11ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 34ms (next.js: 14ms, proxy.ts: 9ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 6ms, proxy.ts: 3ms, application-code: 13ms)
 GET /lab?projectId=prj_09047604e591d969 200 in 67ms (next.js: 3ms, application-code: 64ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 33ms (next.js: 18ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 69ms (next.js: 22ms, proxy.ts: 8ms, application-code: 39ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 76ms (next.js: 37ms, proxy.ts: 8ms, application-code: 31ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 80ms (next.js: 51ms, proxy.ts: 8ms, application-code: 21ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 84ms (next.js: 34ms, proxy.ts: 16ms, application-code: 34ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 84ms (next.js: 35ms, proxy.ts: 18ms, application-code: 31ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 86ms (next.js: 38ms, proxy.ts: 18ms, application-code: 30ms)
